Entity,Code,Year,Share of global annual CO₂ emissions,Share of world population,INFLATION RATE_normalized,EU Index_normalized,Energy Consumption_normalized
Russia,RUS,1996,6.5435534,2.5447161,0.04910112084052292,0.7505951706155765,0.09154576523816457
Russia,RUS,1997,6.0757804,2.5047057,0.011144626907659971,0.18042172089332273,0.04761241957028139
Russia,RUS,1998,6.0221806,2.4664273,0.026014371614024066,0.038714431470354825,0.0
Russia,RUS,1999,6.0167885,2.4281847,0.0928145936649432,0.06376828024033555,0.0819689819173731
Russia,RUS,2000,5.800266,2.3881488,0.01809082224441141,0.009919510259607753,0.19045410454710182
Russia,RUS,2001,5.9032183,2.3469982,0.01887115956312299,0.0,0.23174214885895225
Russia,RUS,2002,5.740519,2.3064122,0.012326674567698944,0.026470921664210414,0.2480773994903898
Russia,RUS,2003,5.5591087,2.2669537,0.009881312463711642,0.12566602426028795,0.34250324625542733
Russia,RUS,2004,5.3946424,2.2291412,0.006688986256127506,0.14323772814873595,0.42714480245883707
Russia,RUS,2005,5.2803845,2.1926835,0.00875611489563992,0.19935381476023126,0.5012085961914116
Russia,RUS,2006,5.302929,2.1582546,0.005285394542031659,0.25461965763518873,0.6797338454470699
Russia,RUS,2007,5.1549044,2.1278439,0.004524490328473543,0.21210747080829837,0.7816613069131744
Russia,RUS,2008,5.1559505,2.1006312,0.010396141848998614,0.36940256206779276,0.8434291919621587
Russia,RUS,2009,4.9059196,2.075345,0.007561902943102682,0.1832558666817821,0.6780198700238057
Russia,RUS,2010,4.9023213,2.0505402,0.00204177237984285,0.3131731096247591,0.8489793457362267
Russia,RUS,2011,4.8957095,2.026891,0.003872335752741137,0.478517174923478,0.8902168731065776
Russia,RUS,2012,4.8697476,2.005521,0.0,0.5048747307561501,0.9616280572249799
Russia,RUS,2013,4.6560388,1.9854494,0.001931688123132968,0.6400634848656614,0.9192696289559238
Russia,RUS,2014,4.6240063,1.9660009,0.003162402913230659,1.0,0.9537590108091439
South Africa,ZAF,1971,1.0862788,0.6108873,,,0.0
South Africa,ZAF,1972,1.0574428,0.6163781,,,0.0557701193869386
South Africa,ZAF,1973,1.0147349,0.621963,,,0.09801787713473369
South Africa,ZAF,1974,1.037923,0.6276288,,,0.14449861601854685
South Africa,ZAF,1975,1.0850524,0.63345283,,,0.18839365552091747
South Africa,ZAF,1976,1.0725739,0.6392338,,,0.2384555806486038
South Africa,ZAF,1977,1.0799587,0.64519244,,,0.263941823076769
South Africa,ZAF,1978,1.0589402,0.6514146,,,0.3176135713155475
South Africa,ZAF,1979,1.115478,0.6573467,,,0.39973590937277076
South Africa,ZAF,1980,1.1712997,0.6629949,,,0.4709208499129804
South Africa,ZAF,1981,1.3518218,0.66817796,,,0.5327658460422517
South Africa,ZAF,1982,1.4864975,0.6732318,,,0.5621864743211861
South Africa,ZAF,1983,1.5374677,0.67915523,,,0.5782219558032043
South Africa,ZAF,1984,1.6067475,0.686125,,,0.669922151247423
South Africa,ZAF,1985,1.5949728,0.69425815,,,0.6956356664659242
South Africa,ZAF,1986,1.6037698,0.70459384,,,0.7160499004869254
South Africa,ZAF,1987,1.5469643,0.71651334,,,0.6869685584763764
South Africa,ZAF,1988,1.5520619,0.7285991,,,0.6985542201578273
South Africa,ZAF,1989,1.5224608,0.7402541,,,0.6886334587456375
South Africa,ZAF,1990,1.3753543,0.75011754,,,0.6663313160909996
South Africa,ZAF,1991,1.4035044,0.75673515,1.0,1.0,0.6251567024824811
South Africa,ZAF,1992,1.3352362,0.7602975,0.9088951632222826,0.908896348616068,0.5842948730248321
South Africa,ZAF,1993,1.405125,0.7624554,0.6495043560485187,0.6495058277385379,0.6031223366643672
South Africa,ZAF,1994,1.470375,0.76435363,0.6009019644580963,0.6008997429305912,0.6283025410629358
South Africa,ZAF,1995,1.5375193,0.76587856,0.5847989255668162,0.5847954675917837,0.6682197152877765
South Africa,ZAF,1996,1.4999171,0.7667037,0.5020420346473898,0.5020403324431577,0.8767700189838452
South Africa,ZAF,1997,1.5790436,0.76670104,0.5796412256048356,0.5796416003194649,0.9248247763393369
South Africa,ZAF,1998,1.5505458,0.76582223,0.47249365037216606,0.472489829535528,0.8525715972912515
South Africa,ZAF,1999,1.5096183,0.76411545,0.36648058957725105,0.3664798961739087,0.8083524458053114
South Africa,ZAF,2000,1.4834815,0.76132774,0.37630525273581444,0.3763071854643472,0.8566718887080408
South Africa,ZAF,2001,1.4474196,0.7580104,0.3989515960640917,0.3989505078992688,0.7597527141692626
South Africa,ZAF,2002,1.358272,0.755045,0.6356053759900311,0.6356041131105399,0.8511630121649093
South Africa,ZAF,2003,1.4626743,0.75234294,0.39754879411740257,0.3975466094292061,0.8680327682705636
South Africa,ZAF,2004,1.569895,0.74981356,0.0,0.0,0.8843745422349769
South Africa,ZAF,2005,1.4064604,0.74742055,0.171891508518675,0.17188708912571443,0.9074145437575724
South Africa,ZAF,2006,1.4597576,0.74519897,0.24558427289261947,0.24558239948086952,0.945227658721471
South Africa,ZAF,2007,1.4763445,0.74333155,0.42864596320787896,0.4286445204282826,1.0
South Africa,ZAF,2008,1.5453854,0.74234885,0.6717862503220061,0.6717872563456211,0.9320846514708645
South Africa,ZAF,2009,1.5259532,0.7417876,0.493381605335978,0.49337983877006014,0.8444659663292315
South Africa,ZAF,2010,1.3901252,0.74130934,0.29835964966243217,0.2983565028577133,0.8931152518672005
South Africa,ZAF,2011,1.3529489,0.74144477,0.35511054339849274,0.3551114383407792,0.9068818558006244
South Africa,ZAF,2012,1.3137206,0.7420731,0.4003715730825189,0.4003731250155989,0.8336361137556977
South Africa,ZAF,2013,1.3017204,0.74302346,0.40410351322405563,0.40410437517158765,0.806490222854752
South Africa,ZAF,2014,1.330467,0.7457345,0.4256529119210547,0.42564953702548236,0.7725438315424065
